id label friends followers statuses
228.0 NachaCarrasco 282.0 201.0 1668.0
292.0 CataaCartes 6.0 12.0 0.0
107.0 monkystore 910.0 308.0 157.0
181.0 Jorrriquelme 17.0 12.0 15.0
114.0 instagram 4.0 4.0658956E7 8505.0
84.0 aguerosergiokun 123.0 1.0023468E7 4177.0
282.0 AilinLQ 151.0 52.0 186.0
239.0 cefiudec 237.0 256.0 19.0
163.0 nikefootball 509.0 3041077.0 42978.0
152.0 Catavallejos 98.0 268585.0 20192.0
137.0 Ivicabezas 346.0 87.0 347.0
156.0 javiier_kst 153.0 30.0 319.0
192.0 TamaAguayo 11.0 9.0 1.0
171.0 danielacastillo 341.0 177722.0 4370.0
5.0 EnnzoSki 791.0 517.0 7181.0
334.0 marcelailin 319.0 285.0 7280.0
141.0 MajoIgnacia 0.0 3.0 0.0
65.0 Vevo 3915.0 4225051.0 26437.0
184.0 ffersanti 464.0 463.0 4418.0
155.0 FelipexUC 47.0 33.0 76.0
40.0 DanaElche 1.0 73.0 1.0
175.0 Josspedreros 1849.0 2521.0 10019.0
78.0 Catahermosilla4 124.0 28.0 166.0
56.0 constantinevare 1167.0 178376.0 12697.0
336.0 Mayoliciouus 91.0 20.0 8.0
177.0 caritocaomp 1913.0 555.0 339.0
267.0 MonseMellado 40.0 25.0 14.0
130.0 IDiegoCarrasco 153.0 34.0 626.0
2.0 cXvenegas 33.0 26.0 163.0
43.0 twitter 144.0 5.5232715E7 2884.0
291.0 Jerson_HG 58.0 16.0 2.0
27.0 Guatonsalinas 2141.0 382526.0 33794.0
266.0 MirandaCatalina 0.0 11.0 0.0
77.0 muchogustoMEGA 2032.0 481732.0 25833.0
317.0 mdigirolamoa 73.0 30719.0 160.0
32.0 thecliniccl 3033.0 1196800.0 182753.0
157.0 PazDanielaa 466.0 170.0 853.0
312.0 PeugeotCL 1603.0 10294.0 3073.0
21.0 CaezaPerro 156.0 91.0 8299.0
102.0 Oscar_Campeli 25.0 28.0 235.0
63.0 SeanSergiosPlz 92.0 36.0 91.0
93.0 mariana_marino 212.0 334018.0 10815.0
183.0 Andre_Galaz 7.0 6.0 0.0
219.0 LiindyMoriin 1.0 7.0 0.0
287.0 Valecanobra 99.0 55.0 647.0
270.0 C1audioBravo 738.0 1442327.0 1536.0
217.0 nataliabirknerb 17.0 25.0 1.0
46.0 diana_bolocco 430.0 746881.0 10223.0
300.0 OfficialLexusUK 702.0 47652.0 13942.0
9.0 camila_vallejo 2074.0 987008.0 8460.0
37.0 adnradio 10.0 240915.0 16456.0
124.0 UlloaProvoste18 179.0 233.0 4134.0
231.0 EmyAguayo 34.0 13.0 10.0
301.0 Cotesiinn 2.0 12.0 1.0
135.0 andresperfetti 21.0 20.0 41.0
75.0 Los_Bunkers 2161.0 339522.0 8499.0
265.0 anaisvalentina 512.0 102.0 108.0
250.0 romisanchez18 153.0 37.0 16.0
202.0 JocelynMedinaR 484.0 128951.0 7039.0
161.0 adidasfootball 678.0 2788769.0 20074.0
337.0 Maripirw 44.0 9.0 9.0
313.0 JeepChile 4070.0 8012.0 4996.0
307.0 AntoMoreiraP 485.0 316.0 1661.0
229.0 JaviSeguelM 10.0 16.0 4.0
101.0 wa_status 1.0 2109976.0 60.0
220.0 caromena_v 171.0 82.0 208.0
259.0 DomiLattimore 207.0 47926.0 7574.0
133.0 DanielaSeguel 9.0 5.0 0.0
296.0 a_Liiiiiz 0.0 5.0 0.0
227.0 VanesaMartinezC 19.0 14.0 866.0
285.0 PaulaVichos 103.0 45.0 43.0
82.0 jtimberlake 167.0 5.5505095E7 3340.0
264.0 gallardocartes 318.0 96.0 111.0
76.0 sussanax 326.0 2948.0 515.0
304.0 DanitzaNicole97 1901.0 411.0 5082.0
53.0 Jhendelyn 646.0 258705.0 17042.0
127.0 CatalinaC1 5.0 8.0 1.0
86.0 NASA 259.0 1.6638636E7 42542.0
3.0 FerNanDo_003 8.0 14.0 3.0
128.0 natigonzalezv 1081.0 266.0 722.0
191.0 UnderArmourCL 1433.0 15374.0 3964.0
109.0 fernburgos 107.0 110.0 686.0
41.0 Vicparischewsky 28.0 34.0 79.0
162.0 ChampionsLeague 643.0 1.1717889E7 40370.0
309.0 PobreGalloCL 2350.0 45354.0 13202.0
314.0 FiatCL 3210.0 3279.0 3937.0
284.0 DjBarzelatto 857.0 13980.0 1424.0
272.0 RosarioTor 16.0 22.0 0.0
12.0 FCBarcelona 58.0 1.7758986E7 76959.0
283.0 camiilajonas 208.0 88.0 1713.0
99.0 ingridcruztoro 615.0 293861.0 5656.0
17.0 AppStore 19.0 4390782.0 6567.0
164.0 Nike 155.0 6101546.0 23543.0
210.0 Karilizbeeth 59.0 70.0 21.0
201.0 alediazpalestin 494.0 53825.0 3851.0
215.0 moirafss 365.0 387.0 18668.0
80.0 prebolledoe 2456.0 4697.0 13975.0
97.0 DaavidGuettta 284.0 3391.0 3379.0
310.0 CSRRacing 150.0 1438115.0 4339.0
248.0 maripipi 23.0 10.0 10.0
119.0 acciontotal 3933.0 4163.0 2682.0
132.0 valeeenice 23.0 18.0 16.0
55.0 carolinademoras 430.0 468795.0 7909.0
150.0 isiijimenez 203.0 37587.0 754.0
275.0 Moto_Chile 3427.0 16117.0 7563.0
261.0 AbihailMedina 5.0 16.0 8.0
118.0 SismologicoMX 1.0 2585207.0 44388.0
289.0 Cata_Sagredo 258.0 194.0 3000.0
91.0 Cristiano 92.0 4.3042006E7 2578.0
6.0 MatiAndres 357.0 179.0 2938.0
26.0 javdiazdevaldes 1255.0 116668.0 18895.0
61.0 accit 269.0 267.0 6798.0
221.0 Kataisidora 51.0 19.0 53.0
176.0 pasvalenzuela 90.0 14.0 2.0
263.0 pipevivarca 34.0 31.0 321.0
237.0 camiicaami 5.0 8.0 0.0
166.0 FIFAcom 807.0 8808059.0 54458.0
338.0 UlloaProvo 17.0 10.0 1.0
117.0 El_Amigoo 82.0 18.0 15.0
295.0 JaviGonzalezVal 29.0 10.0 6.0
160.0 franciscamusic 1280.0 366003.0 8749.0
186.0 ANFPChile 148.0 282380.0 10330.0
64.0 mentiraslared 986.0 625935.0 85750.0
14.0 sismos_chile 56.0 427171.0 4619.0
299.0 camiffraga 265.0 78.0 202.0
208.0 natisepulveda93 63.0 80.0 224.0
328.0 Alexis_Sanchez 31.0 1608823.0 330.0
256.0 opharin 258.0 294.0 4244.0
49.0 el_mago_oficial 66.0 979502.0 294.0
158.0 Runtastic 2083.0 51340.0 25449.0
48.0 Lexus 4664.0 823917.0 13742.0
143.0 valeroth20 310.0 386592.0 4471.0
236.0 _BarSabSP 0.0 13.0 1.0
85.0 PerlitaAtrevida 525.0 22736.0 488.0
278.0 alexgeo27 180.0 25.0 4.0
224.0 KarlaNicolev 26.0 8.0 1.0
271.0 JohnWayneGacy66 5.0 5.0 12.0
212.0 Sofiisabel 714.0 304.0 2165.0
